Name - original,Album,Audio,Cords,Instru,Language,Learn?,Link,Lyrics,Name - EN,Name - ZW,Singer,Status,Top
?) O wawa no Pangcah kami,,,No,No,Amis,Yes,https://www.youtube.com/watch?v=QLlZ66jsOz8&list=PLxeRlhNjfFnkkgFi7KxFYZD_JfJ1fzsmx&index=2,"o folad ato ya fo'is toya lafii
yo cima ko mafana'ay o wawa no pakoyoc kako
sensen hanako kamo toya lafii
yo cima ko mafana'ay o wawa no pakayoc kako
o folad ato ya fo'is toya lafii
yo cima ko mafana'ay o wawa no pangcah kami
sensen hanako kamo toya lafii
yo cima ko mafana'ay o wawa no pangcah kami",,"我只是個窮人家的小孩 （第一段）
我是個阿美族的小孩 （後面的）",Celalaq Tuljaljuy,In progress,No
*結實纍纍的稻穗,,%E4%BB%A5%E8%8E%89%E9%AB%98%E9%9C%B2__%E7%B5%90%E5%AF%A6%E7%BA%8D%E7%BA%8D%E7%9A%84%E7%A8%BB%E7%A9%97.mp3,No,No,Amis,Yes,https://www.youtube.com/watch?v=12TZEsHvWQc,"Yo fali no safalat
O nidadimaway ci ina
Aka kamangic ha wawa
Aka katalaw ha wawa
Nengneng han na panay
Fahal san malufic
Ringring sa ko dadayday
Hato ngiha san ni ama
Dipoten to ko tireng
Hadimelen to ko rakat
Nengneng han na panay
Fahal san malufic",,,以莉·高露,In progress,No
Pasiwali,,,No,No,Amis,Yes,,"Nengneng pasiwali yo sadak sa ko cidal.
Lomowad yo sa to kako, ano papacem to ha ina.
Yo nalomowad yo sa to kako, lina, ama, salikaka mapolong.
Dipoteng to ko tireng namo,aka to piharateng to tireng ako.
Hi ye yan,hi yo yan. Hi ye yan,nalowan yan.",,東,,In progress,No
,,,No,No,Vietnamese,No,,"(0.27) Dưới cơn mưa phùn nhẹ có hai kẻ khờ chen xe lướt nhanh.
Lách len qua dòng người vẫn đang ghì chặt tay ga lăn bánh
Gấp phanh nơi đèn đường đếm tay chờ còn ba giây đến xanh
Và em nói yêu anh...

Bờ vai của anh là nơi mà em thấy yên bình nhất.
Em muốn nương tựa vào anh từ nay về sau mãi mãi.
Choàng tay khẽ ôm từ sau làn hơi ấm tan vào nhau
Em muốn nương tựa vào anh từ nay về sau mãi mãi.
Giữa đại lộ Đông Tây, có mình cầm đôi tay
Giữa đại lộ Đông Tây, ei ei x2

Ánh trăng trên bầu trời nép sau đèn đường như em nép anh
Hát vu vơ bềnh bồng mấy câu chẳng đầu không đuôi em viết
Là la la là là lắng nghe nhịp đập con tim lướt nhanh
Từ câu hát yêu anh... yeah --> #2

Trái Đất vẫn cứ xoay cuộc đời mai đây chẳng biết thế nào
Nhưng em vẫn mong mình mãi như thế này
Vẫn sẽ mãi nắm tay mặc kệ trời mây có thay có đổi
Nhưng em vẫn mong mình mãi như thế thôi --> #2",,,,,No
Slow Mo,,,No,No,Vietnamese,No,,,,,,,No
ngadan,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=vbBjDL5soaw&list=RDTYO5-6j4VhM&index=2,,,名字,Dremedreman 曾妮,,No
???,,,No,No,Mandarin,No,,"夜晚的角落裡 迴響了聲音
他眨著眼睛
月亮也特別安靜 彎著身傾聽
海上的秘密 漂流的人啊
今年的十二月冬季 每天都下雨
海浪緩緩地拍著 小船的身體
搖晃的頻率 他墜入夢裡
在夢中 人們勸他別再找尋
更多人早已忘了他姓名
但他仍逆風往深海航行
他說死在海上或許也不錯
在夢中 人們勸他別再找尋
更多人早已忘了他姓名
但他仍逆著風往深海航行
安靜地死在海上也不錯",,,,,No
???,,,No,No,Mandarin,No,,"大風吹著誰 誰就倒楣
每個人都想當鬼
都一樣的下賤
哭啊 喊啊 叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧 孩子 交點朋友吧
哎呀呀 你看你手上拿的是什麼啊
那東西我們早就不屑啦 哈哈哈
哈
一樣又醉了 一樣又掉眼淚
一樣的屈辱 一樣的感覺
怪罪給時間 它給了起點
怪罪給時間 它給了終點
哭啊 喊啊 叫你媽媽帶你去買玩具啊
快 快拿到學校炫耀吧 孩子 交點朋友吧
哎呀呀 你看你手上拿的是什麼啊
那東西我們早就不屑啦 哈哈哈",,,,,No
In dafo+,,,No,No,Taigi,No,,"人生無定著 世事歹按算
反身的 chance 有抑無
落塗八字命 隨人好額散
夠力的 back 有抑無
有地 有天 有星 有日月
有破厝 有田路 有草仔花
有目 有耳 有鼻 有舌
有這身情義 有知己
如夢幻 如泡影
如露 亦如電
如夢幻 如泡影
如露 亦如電
無地 無天 無星 無日月
無厝 無田路 無草仔花
無看兮 無聽兮 無鼻兮 無啖兮
無空思夢想 無代誌
歕風一喙菸
lighter 火隨化
菸頭菸屎 有抑無
菸味粉味 有抑無",,,,,No
???,,,No,No,Mandarin,No,,"乘風破浪航向大世界
予海鳥帶領咱的夢
大船是厝 天地為家
一呼百應作陣行
乘風破浪航向大世界
予海鳥帶領咱的夢
袂爽就反 路家己開
群策群力作夥拼
一呼百應作陣行！",,,,,No
